SLURM_ARRAY_JOB_ID,SLURM_ARRAY_TASK_COUNT,SLURM_ARRAY_TASK_ID,SLURM_ARRAY_TASK_MAX,SLURM_ARRAY_TASK_MIN,SLURM_JOB_ID,cfg_make_cv_sim_recipe,cfg_make_wt_specs_recipe,cfg_maxseqlen,cfg_n_imports_mx,cfg_num_mut_sites,cfg_p_wt_to_mut,cfg_pop_size,cfg_refseqs,cfg_suffix_mut,cfg_suffix_wt,replicate_num,replicate_uuid,trt_eff_size,trt_mutmx_active_strain_factor,trt_mutmx_rel_beta,trt_mutmx_withinhost_r,trt_name,trt_seed,trt_type,cumulative_infections,cumulative_reinfections,cumulative_infectious,cumulative_symptomatic_cases,cumulative_severe_cases,cumulative_critical_cases,cumulative_recoveries,cumulative_deaths,cumulative_tests,cumulative_diagnoses,cumulative_known_deaths,cumulative_quarantined_people,cumulative_isolated_people,cumulative_vaccine_doses,cumulative_vaccinated_people
56516680,35,30,34,0,56516833,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,4,6170867d-0ae9-8aab-b65c-04fea6a63b1c,2.0,1.0,1.0,2.0,Sben2x/Gneu,30,Sben/Gneu,1212979,1013212,1205695,611386,20253,6080,1189587,2234,0,0,0,0,0,0,0
56516680,35,17,34,0,56516805,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,c14cb4b0-d347-8db5-8fd0-d2045398ad13,1.1,1.0,0.9,1.1,Sben1.1x/Gdel1.1x,17,Sben/Gdel,1217159,1017407,1209041,610541,20457,6123,1192023,2179,0,0,0,0,0,0,0
56520083,3,24,34,3,56520085,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,3,60d3ac04-ec31-88f7-bf54-2f64f642f7ba,1.1,1.0,0.9,1.1,Sben1.1x/Gdel1.1x,24,Sben/Gdel,1214577,1014811,1207206,610573,19886,5952,1190670,2130,0,0,0,0,0,0,0
56516680,35,2,34,0,56516742,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,fe1c0674-c530-822a-9fce-7317f72b0454,2.0,1.0,1.0,2.0,Sben2x/Gneu,2,Sben/Gneu,1207178,1007401,1199337,607377,19953,6097,1182816,2200,0,0,0,0,0,0,0
56516680,35,5,34,0,56516745,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,574f569c-d57a-8218-a860-1cafa5fb72db,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,5,Sben/Gdel,1206829,1007069,1198360,606687,19808,5878,1180230,2183,0,0,0,0,0,0,0
56516680,35,33,34,0,56516837,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,4,a5658342-c5b6-8234-925f-d74cbc41c4fc,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,33,Sben/Gdel,1202141,1002402,1193798,604101,19807,5907,1175689,2108,0,0,0,0,0,0,0
56516680,35,25,34,0,56516828,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,3,199918f1-436a-8895-9e92-7eb498884dfc,1.3,1.0,0.75,1.3,Sben1.3x/Gdel1.3x,25,Sben/Gdel,1207901,1008115,1200114,606759,20054,6099,1183227,2199,0,0,0,0,0,0,0
56516680,35,6,34,0,56516790,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,0,5e2820ad-5a0d-83bb-b458-6ba749c7dfd9,1.0,1.0,1.0,1.0,Sneu/Gneu,6,Sneu/Gneu,1218742,1018964,1210717,612540,20408,6145,1193627,2202,0,0,0,0,0,0,0
56516680,35,16,34,0,56516804,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,2,8deccc70-7c39-8639-8e74-a3f482904bd6,2.0,1.0,1.0,2.0,Sben2x/Gneu,16,Sben/Gneu,1213912,1014152,1205605,609852,20034,6100,1187903,2120,0,0,0,0,0,0,0
56516680,35,12,34,0,56516800,make_cv_sim_vanilla,make_wt_specs_uk,49,100,1,2e-06,200000,https://osf.io/hp25c/download,',+,1,21b83780-64ea-8fbd-901e-c98a4efe8b80,2.0,1.0,0.5,2.0,Sben2x/Gdel2x,12,Sben/Gdel,1202453,1002729,1194605,605356,19797,5966,1177874,2278,0,0,0,0,0,0,0
