source_name,trt_name,trt_n_downsample,trt_hsurf_bits,replicate_uuid,sum leaf count,sum defmut
uk,Sben1.3x/Gdel1.3x,1000000,0,7de27178-9897-83c3-ac25-0da381cbb78b,59,14
uk,Sben1.3x/Gdel1.3x,1000000,64,7de27178-9897-83c3-ac25-0da381cbb78b,12,12
uk,Sneu/Gneu,1000000,0,bc02d4dc-d4e0-84f7-9aa9-a642dc7d09fe,0,0
uk,Sneu/Gneu,1000000,64,d80807db-dd30-8cea-9929-08a538d25d1e,0,0
uk,Sben2x/Gdel2x,1000000,64,0f07d386-bc29-8b1c-9c27-adc93df6f99f,205,205
uk,Sben2x/Gdel2x,1000000,0,29df904b-2a70-8bfb-b945-d20ebb4eb907,512,285
uk,Sben1.3x/Gdel1.3x,1000000,64,50051186-3169-8fcd-a7af-d09153df2445,11,11
uk,Sben1.1x/Gneu,1000000,0,07062d1e-9a3d-81e2-947e-dc17ec43dd70,6,2
uk,Sben2x/Gdel2x,1000000,64,10d4fad1-bc3a-8c8a-bb1a-3e049dfbddea,216,216
uk,Sben1.1x/Gneu,1000000,64,7f02ab73-bb7d-8cb6-a55d-aea1dbdf3976,1,1
uk,Sben1.1x/Gdel1.1x,1000000,64,c0721418-8a62-8803-8a85-dea294dc3c40,1,1
uk,Sben1.3x/Gdel1.3x,1000000,0,6cca2f5d-7303-80aa-9b56-c65a26f04eba,81,17
multistrain,Sneu/Gneu,1000000,0,5e2820ad-5a0d-83bb-b458-6ba749c7dfd9,58,17
multistrain,Sben1.1x/Gdel1.1x,1000000,0,60d3ac04-ec31-88f7-bf54-2f64f642f7ba,508,26
multistrain,Sben2x/Gneu,1000000,0,6170867d-0ae9-8aab-b65c-04fea6a63b1c,103101,9513
multistrain,Sben2x/Gneu,1000000,0,9af0e92d-02c5-85b1-a1e0-8d7f3a24e79e,104351,9494
multistrain,Sben1.1x/Gneu,1000000,0,a8d4f05b-1043-860c-a858-18814a290c12,712,36
multistrain,Sben1.3x/Gdel1.3x,1000000,0,ade6aa09-1d9e-81c5-a38c-9e977bfe4fef,1123,309
multistrain,Sben2x/Gneu,1000000,0,fe1c0674-c530-822a-9fce-7317f72b0454,104411,9611
multistrain,Sneu/Gneu,1000000,0,5cb2645f-38f3-8478-a5ea-bfc9d9108460,256,16
multistrain,Sben1.1x/Gneu,1000000,0,9127f0eb-ec5c-80d1-bd83-8a4ce39160e6,106,24
multistrain,Sben2x/Gdel2x,1000000,0,97fe7b7d-aa89-8727-b24f-c7780efe28b4,14103,5641
multistrain,Sben2x/Gdel2x,1000000,0,a5658342-c5b6-8234-925f-d74cbc41c4fc,11961,5672
multistrain,Sben1.1x/Gdel1.1x,1000000,0,c14cb4b0-d347-8db5-8fd0-d2045398ad13,1054,24
multistrain,Sneu/Gneu,1000000,0,1bd1619f-bf4f-830f-9249-412024001249,32,12
multistrain,Sben2x/Gdel2x,1000000,0,21b83780-64ea-8fbd-901e-c98a4efe8b80,10787,5645
multistrain,Sben1.3x/Gneu,1000000,0,2c7fcc59-bc55-8639-8a5b-02acf1b70aa2,6858,365
multistrain,Sben1.3x/Gneu,1000000,0,327950cf-f39e-8c1f-9546-dd1ad23e18fb,9524,440
multistrain,Sneu/Gneu,1000000,0,5b46bec1-52b1-8645-a8a3-bd970458cff3,62,22
multistrain,Sben1.3x/Gdel1.3x,1000000,0,199918f1-436a-8895-9e92-7eb498884dfc,1446,315
multistrain,Sben1.3x/Gdel1.3x,1000000,0,9e77251f-d0bd-8bf2-895d-726265c567bd,2076,265
multistrain,Sben2x/Gneu,1000000,0,b8d2bd7c-8af4-847d-bce0-7581e9f8fe4f,108299,9400
multistrain,Sben1.3x/Gneu,1000000,0,bc2a2b7d-2f76-8593-a554-7121cc75cc69,4137,424
multistrain,Sneu/Gneu,1000000,0,c56beb9d-532c-8638-93e2-35f5e4563d64,52,16
multistrain,Sben1.3x/Gdel1.3x,1000000,0,d07369f4-3da7-84c9-a1ce-fbdf3a583c6f,1770,273
multistrain,Sben1.1x/Gdel1.1x,1000000,0,179dd0de-f78b-83ff-a1b6-ea79dbd5ccfa,504,25
multistrain,Sben1.3x/Gdel1.3x,1000000,0,7024c7f3-16bc-8d56-b17e-a64ef47c0048,1304,324
multistrain,Sben1.1x/Gneu,1000000,0,7659ebaf-0658-85a8-bc9a-15f7d639cf85,239,16
multistrain,Sben2x/Gneu,1000000,0,8deccc70-7c39-8639-8e74-a3f482904bd6,105199,9424
multistrain,Sben1.3x/Gneu,1000000,0,9df57049-9921-803c-bf3a-b7e6c22346cb,6352,454
multistrain,Sben2x/Gdel2x,1000000,0,b8b5b251-029f-8d48-94d6-dc12bccff21b,11492,5546
multistrain,Sben1.1x/Gneu,1000000,0,c65dc6a9-3280-83b1-bb63-aa4c4ed25f26,388,29
multistrain,Sben1.3x/Gneu,1000000,0,f1e39af0-7209-8ad6-99b0-b7efa948d1dc,5063,432
multistrain,Sben1.1x/Gdel1.1x,1000000,0,3defbb03-c485-80b7-8b55-3fa01f378824,1397,27
multistrain,Sben1.1x/Gneu,1000000,0,4cec45c5-d8ed-8363-88d3-a21ef2332958,172,42
multistrain,Sben2x/Gdel2x,1000000,0,574f569c-d57a-8218-a860-1cafa5fb72db,14211,5648
vanilla,Sneu/Gneu,1000000,0,22995bb2-0558-8df4-9579-730561f51f05,97,16
vanilla,Sben2x/Gneu,1000000,0,5c2a007b-16a4-8fdc-becd-5d9ad1c544db,271926,8809
vanilla,Sben1.1x/Gneu,1000000,0,696c566e-8370-89ff-84e1-1c58cbeeac92,735,24
vanilla,Sben1.1x/Gneu,1000000,0,73eb38a0-da76-86ed-a187-3970d29d98ba,90,27
vanilla,Sben1.3x/Gdel1.3x,1000000,0,917fd91f-e0b3-8218-8506-9f9f1c7c6cfc,1239,370
vanilla,Sben1.1x/Gdel1.1x,1000000,0,95ad5671-6be2-84c0-bf2e-15fb1d3223ad,76,15
vanilla,Sneu/Gneu,1000000,0,cc285215-e3b9-8ee7-97fa-6d3cf1ec6573,21,13
vanilla,Sben1.3x/Gneu,1000000,0,fd4ec345-3f86-8ef1-8968-97664c679634,20143,470
vanilla,Sben2x/Gdel2x,1000000,0,63f60bb7-b5ef-8de6-a92d-b9145c4205e7,13560,6748
vanilla,Sben1.1x/Gneu,1000000,0,089cf526-cfae-8e45-88d0-29c8159f499e,51,18
